# Image_ID qw qx qy qz tx ty tz Camera_ID Name
1 -0.4153537713693355 0.683097406426547 0.5903831686847442 0.1109364325925237 0.0 0.0 0.0 1 frame_0000.jpg
2 -0.41182445282845365 0.6881664048357206 0.5866804274995805 0.11239971217460129 0.0 0.0 0.0 1 frame_0001.jpg
3 -0.4052063574456503 0.6958752829144511 0.5811288757413592 0.11770568505363067 0.0 0.0 0.0 1 frame_0002.jpg
4 -0.3936212095245081 0.6982618380056511 0.5836177659872075 0.12993479988645887 0.0 0.0 0.0 1 frame_0003.jpg
5 -0.3914523947584943 0.6999138126780983 0.5817741155965082 0.13573708366599252 0.0 0.0 0.0 1 frame_0004.jpg
6 -0.3895387252558629 0.7058220073602299 0.5761948870224035 0.1344407959707637 0.0 0.0 0.0 1 frame_0005.jpg
7 -0.3973892280542125 0.7119910846255614 0.5645323485102883 0.12827207149513087 0.0 0.0 0.0 1 frame_0006.jpg
8 -0.40038732204880634 0.7135678307314011 0.5606896863050853 0.12703550275011008 0.0 0.0 0.0 1 frame_0007.jpg
9 -0.41795609994242877 0.7162611575280983 0.5475582000050343 0.1116363307560321 0.0 0.0 0.0 1 frame_0008.jpg
10 -0.4502994522407517 0.7052418813868793 0.5413956092077947 0.08218933252007116 0.0 0.0 0.0 1 frame_0009.jpg
11 -0.46813312382097294 0.7042738541069997 0.5296948145466467 0.06536910772898621 0.0 0.0 0.0 1 frame_0010.jpg
12 -0.47298814792032196 0.7175734825886555 0.5082839856395285 0.054935407114973106 0.0 0.0 0.0 1 frame_0011.jpg
13 -0.4828822900593989 0.7237889908659461 0.4904589604746269 0.049032629323691436 0.0 0.0 0.0 1 frame_0012.jpg
14 -0.48713819507592826 0.7220094853204604 0.4888382261478998 0.04935454043981927 0.0 0.0 0.0 1 frame_0013.jpg
15 -0.48484984950729476 0.7191484113713276 0.4947231996571306 0.05472788663798877 0.0 0.0 0.0 1 frame_0014.jpg
16 -0.48979615921090325 0.7132064909742079 0.4987101997852724 0.05219540482301505 0.0 0.0 0.0 1 frame_0015.jpg
17 -0.48901364965494004 0.7123727558014858 0.4995972687127264 0.06158957978210348 0.0 0.0 0.0 1 frame_0016.jpg
18 -0.49018083004579616 0.7111599053522235 0.5000979956342998 0.06226024122653534 0.0 0.0 0.0 1 frame_0017.jpg
19 -0.4802739715360874 0.7092611393510063 0.510459754410652 0.07560679598080437 0.0 0.0 0.0 1 frame_0018.jpg
20 -0.46660581707400045 0.705216138384237 0.5245386359287358 0.09903751336311971 0.0 0.0 0.0 1 frame_0019.jpg
21 -0.4400131074320418 0.7091691080203663 0.5387857041654572 0.11479375638304122 0.0 0.0 0.0 1 frame_0020.jpg
22 -0.4249866876241305 0.7104595058037982 0.546790453801689 0.12511516929067945 0.0 0.0 0.0 1 frame_0021.jpg
23 -0.41055472340358123 0.7029284694934465 0.5639799911525983 0.13879104958939095 0.0 0.0 0.0 1 frame_0022.jpg
24 -0.39199389594637185 0.6881409180527509 0.592564932581017 0.14720619252448883 0.0 0.0 0.0 1 frame_0023.jpg
25 -0.375483640462586 0.6848924695705016 0.6075942240860356 0.14409580052128987 0.0 0.0 0.0 1 frame_0024.jpg
26 -0.3643594024628734 0.6778737849014276 0.6201357925766326 0.15218724107382545 0.0 0.0 0.0 1 frame_0025.jpg
27 -0.35227590638242245 0.6773517658527798 0.626091013763489 0.1584497193533975 0.0 0.0 0.0 1 frame_0026.jpg
28 -0.3468904036447567 0.674067595787288 0.6312871779050088 0.16363503042274552 0.0 0.0 0.0 1 frame_0027.jpg
29 -0.3411835424157453 0.6596008363113313 0.6465682522702062 0.17455664489868863 0.0 0.0 0.0 1 frame_0028.jpg
30 -0.32547512286642405 0.6427110690765856 0.6667670297776933 0.19081444935578476 0.0 0.0 0.0 1 frame_0029.jpg
31 -0.30738535627726754 0.6349985692996072 0.681712716963846 0.1938010094491785 0.0 0.0 0.0 1 frame_0030.jpg
32 -0.28400998072802974 0.628128473460954 0.6975155168998912 0.19561455814522927 0.0 0.0 0.0 1 frame_0031.jpg
33 -0.2742223879598607 0.6114227681872645 0.713928269940264 0.20315192803396134 0.0 0.0 0.0 1 frame_0032.jpg
34 -0.2822082767348965 0.607383154624799 0.712149993265738 0.21044376710170562 0.0 0.0 0.0 1 frame_0033.jpg
35 -0.29166887946888354 0.5985480470884691 0.7109532915393455 0.2263071305224741 0.0 0.0 0.0 1 frame_0034.jpg
36 -0.2714159174335374 0.6024645196404849 0.7181466946700631 0.21825495933090333 0.0 0.0 0.0 1 frame_0035.jpg
